Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
PF00574	Clp protease	pfam	domain	IPR023562		
PF00575	S1 RNA binding domain	pfam	domain	IPR003029		
PF00576	HIUase/Transthyretin family	pfam	domain	IPR023416		
PF00578	AhpC/TSA family	pfam	domain	IPR000866		
PF00579	tRNA synthetases class I (W and Y)	pfam	family	IPR002305		
PF00580	UvrD/REP helicase N-terminal domain	pfam	domain	IPR014016		
PF00581	Rhodanese-like domain	pfam	domain	IPR001763		
PF00583	Acetyltransferase (GNAT) family	pfam	family	IPR000182		
PF00584	SecE/Sec61-gamma subunits of protein translocation complex	pfam	family	IPR001901		
PF00586	AIR synthase related protein, N-terminal domain	pfam	domain	IPR016188		
PF00587	tRNA synthetase class II core domain (G, H, P, S and T)	pfam	domain	IPR002314		
PF00588	SpoU rRNA Methylase family	pfam	family	IPR001537		
PF00590	Tetrapyrrole (Corrin/Porphyrin) Methylases	pfam	domain	IPR000878		
PF00591	Glycosyl transferase family, a/b domain	pfam	family	IPR000312		
PF00594	Vitamin K-dependent carboxylation/gamma-carboxyglutamic (GLA) domain	pfam	domain	IPR000294		
PF00595	PDZ domain	pfam	domain	IPR001478		
PF00596	Class II Aldolase and Adducin N-terminal domain	pfam	domain	IPR001303		
PF00605	Interferon regulatory factor transcription factor	pfam	domain	IPR001346		
PF00606	Herpesvirus Glycoprotein B ectodomain	pfam	domain			
PF00607	gag protein p24 N-terminal domain	pfam	domain	IPR000721		
PF00609	Diacylglycerol kinase accessory domain	pfam	family	IPR000756		
PF00610	Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)	pfam	domain	IPR000591		
PF00611	Fes/CIP4, and EFC/F-BAR homology domain	pfam	family	IPR001060		
PF00612	IQ calmodulin-binding motif	pfam	conserved_site	IPR000048		
PF00613	Phosphoinositide 3-kinase family, accessory domain (PIK domain)	pfam	repeat	IPR001263		
PF00614	Phospholipase D Active site motif	pfam	family	IPR001736		
PF00615	Regulator of G protein signaling domain	pfam	domain	IPR016137		
PF00616	GTPase-activator protein for Ras-like GTPase	pfam	family	IPR001936		
PF00617	RasGEF domain	pfam	family	IPR001895		
PF00618	RasGEF N-terminal motif	pfam	domain	IPR000651		
PF00619	Caspase recruitment domain	pfam	domain	IPR001315		
PF00620	RhoGAP domain	pfam	domain	IPR000198		
PF00621	RhoGEF domain	pfam	domain	IPR000219		
PF00622	SPRY domain	pfam	family	IPR003877		
PF00623	RNA polymerase Rpb1, domain 2	pfam	domain	IPR000722		
PF00625	Guanylate kinase	pfam	domain	IPR008145		
PF00626	Gelsolin repeat	pfam	domain	IPR007123		
PF00627	UBA/TS-N domain	pfam	domain	IPR015940		
PF00628	PHD-finger	pfam	domain	IPR019787		
PF00629	MAM domain, meprin/A5/mu	pfam	domain	IPR000998		
PF00630	Filamin/ABP280 repeat	pfam	domain	IPR017868		
PF00631	GGL domain	pfam	domain	IPR015898		
PF00632	HECT-domain (ubiquitin-transferase)	pfam	domain	IPR000569		
PF00633	Helix-hairpin-helix motif	pfam	conserved_site	IPR000445		
PF00634	BRCA2 repeat	pfam	family	IPR002093		
PF00635	MSP (Major sperm protein) domain	pfam	domain	IPR000535		
PF00636	Ribonuclease III domain	pfam	family	IPR000999		
PF00637	Region in Clathrin and VPS	pfam	repeat	IPR000547		
PF00638	RanBP1 domain	pfam	domain	IPR000156		
PF00639	PPIC-type PPIASE domain	pfam	domain	IPR000297		
PF00640	Phosphotyrosine interaction domain (PTB/PID)	pfam	domain	IPR006020		
PF00641	Zn-finger in Ran binding protein and others	pfam	domain	IPR001876		
PF00642	Zinc finger C-x8-C-x5-C-x3-H type (and similar)	pfam	family	IPR000571		
PF00643	B-box zinc finger	pfam	domain	IPR000315		
PF00644	Poly(ADP-ribose) polymerase catalytic domain	pfam	family	IPR012317		
PF00645	Poly(ADP-ribose) polymerase and DNA-Ligase Zn-finger region	pfam	domain	IPR001510		
PF00646	F-box domain	pfam	domain	IPR001810		
PF00647	Elongation factor 1 gamma, conserved domain	pfam	domain	IPR001662		
PF00648	Calpain family cysteine protease	pfam	family	IPR001300		
PF00650	CRAL/TRIO domain	pfam	domain	IPR001251		
PF00651	BTB/POZ domain	pfam	domain	IPR000210		
PF00652	Ricin-type beta-trefoil lectin domain	pfam	domain	IPR000772		
PF00653	Inhibitor of Apoptosis domain	pfam	domain	IPR001370		
PF00654	Voltage gated chloride channel	pfam	family	IPR001807		
PF00656	Caspase domain	pfam	domain			
PF00657	GDSL-like Lipase/Acylhydrolase	pfam	family	IPR001087		
PF00658	Poly-adenylate binding protein, unique domain	pfam	family	IPR002004		
PF00659	POLO box duplicated region	pfam	family	IPR000959		
PF00662	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus	pfam	family	IPR001516		
PF00664	ABC transporter transmembrane region	pfam	family	IPR011527		
PF00665	Integrase core domain	pfam	domain	IPR001584		
PF00666	Cathelicidin	pfam	domain			
PF00667	FAD binding domain	pfam	domain	IPR003097		
PF00670	S-adenosyl-L-homocysteine hydrolase, NAD binding domain	pfam	domain	IPR015878		
PF00673	ribosomal L5P family C-terminus	pfam	domain	IPR031309		
PF00675	Insulinase (Peptidase family M16)	pfam	family	IPR011765		
PF00676	Dehydrogenase E1 component	pfam	family	IPR001017		
PF00679	Elongation factor G C-terminus	pfam	domain	IPR000640		
PF00681	Plectin repeat	pfam	repeat	IPR001101		
PF00682	HMGL-like	pfam	domain	IPR000891		
PF00683	TB domain	pfam	family	IPR017878		
PF00684	DnaJ central domain	pfam	domain	IPR001305		
PF00685	Sulfotransferase domain	pfam	domain	IPR000863		
PF00686	Starch binding domain	pfam	family	IPR002044		
PF00687	Ribosomal protein L1p/L10e family	pfam	domain	IPR028364		
PF00688	TGF-beta propeptide	pfam	family	IPR001111		
PF00689	Cation transporting ATPase, C-terminus	pfam	family	IPR006068		
PF00690	Cation transporter/ATPase, N-terminus	pfam	domain	IPR004014		
PF00692	dUTPase	pfam	domain	IPR029054		
PF00694	Aconitase C-terminal domain	pfam	domain	IPR000573		
PF00696	Amino acid kinase family	pfam	family	IPR001048		
PF00698	Acyl transferase domain	pfam	domain	IPR014043		
PF00701	Dihydrodipicolinate synthetase family	pfam	domain	IPR002220		
PF00702	haloacid dehalogenase-like hydrolase	pfam	domain			
PF00703	Glycosyl hydrolases family 2	pfam	domain	IPR006102		
PF00704	Glycosyl hydrolases family 18	pfam	domain	IPR001223		
PF00705	Proliferating cell nuclear antigen, N-terminal domain	pfam	domain	IPR022648		
PF00708	Acylphosphatase	pfam	domain	IPR001792		
PF00709	Adenylosuccinate synthetase	pfam	domain	IPR001114		
PF00710	Asparaginase, N-terminal	pfam	domain	IPR027474		
PF00711	Beta defensin	pfam	domain	IPR001855		
PF00714	Interferon gamma	pfam	domain	IPR002069		
PF00715	Interleukin 2	pfam	domain	IPR000779		
PF00716	Assemblin (Peptidase family S21)	pfam	family	IPR001847		
PF00717	Peptidase S24-like	pfam	domain	IPR015927		
PF00719	Inorganic pyrophosphatase	pfam	domain	IPR008162		
PF00723	Glycosyl hydrolases family 15	pfam	repeat	IPR011613		
PF00725	3-hydroxyacyl-CoA dehydrogenase, C-terminal domain	pfam	domain	IPR006108		
PF00726	Interleukin 10	pfam	domain	IPR020443		
PF00727	Interleukin 4	pfam	domain	IPR002354		
PF00728	Glycosyl hydrolase family 20, catalytic domain	pfam	domain	IPR015883		
PF00730	HhH-GPD superfamily base excision DNA repair protein	pfam	domain	IPR003265		
PF00731	AIR carboxylase	pfam	domain	IPR000031		
PF00732	GMC oxidoreductase	pfam	domain	IPR000172		
PF00733	Asparagine synthase	pfam	domain	IPR001962		
PF00735	Septin	pfam	domain	IPR030379		
PF00736	EF-1 guanine nucleotide exchange domain	pfam	domain	IPR014038		
PF00743	Flavin-binding monooxygenase-like	pfam	family	IPR020946		
PF00746	LPXTG cell wall anchor motif	pfam	conserved_site	IPR019931		
PF00747	ssDNA binding protein	pfam	family	IPR000635		
PF00748	Calpain inhibitor	pfam	family	IPR001259		
PF00749	tRNA synthetases class I (E and Q), catalytic domain	pfam	domain	IPR020058		
PF00750	tRNA synthetases class I (R)	pfam	family	IPR035684		
PF00751	DM DNA binding domain	pfam	family	IPR001275		
PF00752	XPG N-terminal domain	pfam	family	IPR006085		
PF00753	Metallo-beta-lactamase superfamily	pfam	domain	IPR001279		
PF00754	F5/8 type C domain	pfam	domain	IPR000421		
PF00755	Choline/Carnitine o-acyltransferase	pfam	family	IPR039551		
PF00756	Putative esterase	pfam	domain	IPR000801		
PF00757	Furin-like cysteine rich region	pfam	domain	IPR006211		
PF00758	Erythropoietin/thrombopoietin	pfam	domain	IPR001323		
PF00759	Glycosyl hydrolase family 9	pfam	repeat	IPR001701		
PF00762	Ferrochelatase	pfam	domain	IPR001015		
PF00763	Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain	pfam	domain	IPR020630		
PF00764	Arginosuccinate synthase	pfam	family	IPR001518		
PF00766	Electron transfer flavoprotein FAD-binding domain	pfam	domain	IPR014731		
PF00769	Ezrin/radixin/moesin family	pfam	unknown			
PF00773	RNB domain	pfam	domain	IPR001900		
PF00777	Glycosyltransferase family 29 (sialyltransferase)	pfam	family	IPR001675		
PF00778	DIX domain	pfam	family	IPR001158		
PF00779	BTK motif	pfam	conserved_site	IPR001562		
PF00780	CNH domain	pfam	family	IPR001180		
PF00781	Diacylglycerol kinase catalytic domain	pfam	family	IPR001206		
PF00782	Dual specificity phosphatase, catalytic domain	pfam	domain	IPR000340		
PF00784	MyTH4 domain	pfam	family	IPR000857		
PF00786	P21-Rho-binding domain	pfam	domain	IPR000095		
PF00787	PX domain	pfam	domain	IPR001683		
PF00788	Ras association (RalGDS/AF-6) domain	pfam	domain	IPR000159		
PF00789	UBX domain	pfam	domain	IPR001012		
PF00790	VHS domain	pfam	domain	IPR002014		
PF00791	ZU5 domain	pfam	family	IPR000906		
PF00792	Phosphoinositide 3-kinase C2	pfam	domain	IPR002420		
PF00794	PI3-kinase family, ras-binding domain	pfam	domain	IPR000341		
PF00795	Carbon-nitrogen hydrolase	pfam	family	IPR003010		
PF00797	N-acetyltransferase	pfam	family	IPR001447		
PF00801	PKD domain	pfam	domain	IPR000601		
PF00804	Syntaxin	pfam	domain	IPR006011		
PF00805	Pentapeptide repeats (8 copies)	pfam	repeat	IPR001646		
PF00806	Pumilio-family RNA binding repeat	pfam	repeat	IPR001313		
PF00808	Histone-like transcription factor (CBF/NF-Y) and archaeal histone	pfam	domain	IPR003958		
PF00809	Pterin binding enzyme	pfam	domain	IPR000489		
PF00810	ER lumen protein retaining receptor	pfam	repeat	IPR000133		
PF00811	Ependymin	pfam	family	IPR001299		
PF00812	Ephrin	pfam	domain	IPR001799		
PF00814	tRNA N6-adenosine threonylcarbamoyltransferase	pfam	family	IPR000905		
PF00817	impB/mucB/samB family	pfam	family	IPR001126		
PF00821	Phosphoenolpyruvate carboxykinase C-terminal P-loop domain	pfam	domain	IPR035077		
PF00822	PMP-22/EMP/MP20/Claudin family	pfam	family	IPR004031		
PF00827	Ribosomal L15	pfam	family	IPR000439		
PF00828	Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A	pfam	family	IPR021131		
PF00829	Ribosomal prokaryotic L21 protein	pfam	family	IPR028909		
PF00830	Ribosomal L28 family	pfam	family	IPR026569		
PF00831	Ribosomal L29 protein	pfam	family	IPR001854		
PF00832	Ribosomal L39 protein	pfam	family	IPR000077		
PF00833	Ribosomal S17	pfam	family	IPR001210		
PF00834	Ribulose-phosphate 3 epimerase family	pfam	domain	IPR000056		
PF00835	SNAP-25 family	pfam	family	IPR000928		
PF00836	Stathmin family	pfam	family	IPR000956		
PF00837	Iodothyronine deiodinase	pfam	family	IPR000643		
PF00838	Translationally controlled tumour protein	pfam	domain	IPR018105		
PF00839	Cysteine rich repeat	pfam	family	IPR001893		
PF00841	Sperm histone P2	pfam	family	IPR000492		
PF00849	RNA pseudouridylate synthase	pfam	family	IPR006145		
PF00850	Histone deacetylase domain	pfam	domain	IPR023801		
PF00852	Glycosyltransferase family 10 (fucosyltransferase) C-term	pfam	family	IPR001503		
PF00853	Runt domain	pfam	domain	IPR013524		
PF00854	POT family	pfam	family	IPR000109		
PF00855	PWWP domain	pfam	domain	IPR000313		
PF00856	SET domain	pfam	family	IPR001214		
PF00857	Isochorismatase family	pfam	family	IPR000868		
PF00858	Amiloride-sensitive sodium channel	pfam	family	IPR001873		
PF00859	CTF/NF-I family transcription modulation region	pfam	family	IPR000647		
PF00860	Permease family	pfam	family	IPR006043		
PF00861	Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast	pfam	family	IPR005484		
PF00864	ATP P2X receptor	pfam	family			
PF00865	Osteopontin	pfam	family	IPR002038		
PF00867	XPG I-region	pfam	family	IPR006086		
PF00868	Transglutaminase family	pfam	domain	IPR001102		
PF00870	P53 DNA-binding domain	pfam	domain	IPR011615		
PF00875	DNA photolyase	pfam	domain	IPR006050		
PF00876	Innexin	pfam	family	IPR000990		
PF00878	Cation-independent mannose-6-phosphate receptor repeat	pfam	family	IPR000479		
PF00879	Defensin propeptide	pfam	family	IPR002366		
PF00880	Nebulin repeat	pfam	repeat	IPR000900		
PF00881	Nitroreductase family	pfam	domain	IPR029479		
PF00882	Zinc dependent phospholipase C	pfam	domain	IPR029002		
PF00883	Cytosol aminopeptidase family, catalytic domain	pfam	domain	IPR000819		
PF00884	Sulfatase	pfam	family	IPR000917		
PF00886	Ribosomal protein S16	pfam	family	IPR000307		
PF00887	Acyl CoA binding protein	pfam	domain	IPR000582		
PF00888	Cullin family	pfam	family	IPR001373		
PF00889	Elongation factor TS	pfam	family	IPR014039		
PF00890	FAD binding domain	pfam	family	IPR003953		
PF00891	O-methyltransferase domain	pfam	domain	IPR001077		
PF00892	EamA-like transporter family	pfam	family	IPR000620		
PF00895	ATP synthase protein 8	pfam	family	IPR001421		
PF00899	ThiF family	pfam	domain	IPR000594		
PF00900	Ribosomal family S4e	pfam	family	IPR013845		
PF00903	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	pfam	domain	IPR004360		
PF00904	Involucrin repeat	pfam	repeat	IPR000354		
PF00907	T-box	pfam	domain	IPR046360		
PF00909	Ammonium Transporter Family	pfam	family	IPR024041		
PF00916	Sulfate permease family	pfam	family	IPR011547		
PF00917	MATH domain	pfam	domain	IPR002083		
PF00918	Gastrin/cholecystokinin family	pfam	family	IPR001651		
PF00919	Uncharacterized protein family UPF0004	pfam	family	IPR013848		
PF00923	Transaldolase/Fructose-6-phosphate aldolase	pfam	domain	IPR001585		
PF00927	Transglutaminase family, C-terminal ig like domain	pfam	domain	IPR008958		
PF00928	Adaptor complexes medium subunit family	pfam	family	IPR028565		
PF00929	Exonuclease	pfam	family	IPR013520		
PF00930	Dipeptidyl peptidase IV (DPP IV) N-terminal region	pfam	repeat	IPR002469		
PF00931	NB-ARC domain	pfam	domain	IPR002182		
PF00932	Lamin Tail Domain	pfam	domain	IPR001322		
PF00935	Ribosomal protein L44	pfam	family	IPR000552		
PF00939	Sodium:sulfate symporter transmembrane region	pfam	family	IPR001898		
PF00940	DNA-dependent RNA polymerase	pfam	family	IPR002092		
PF00941	FAD binding domain in molybdopterin dehydrogenase	pfam	family	IPR002346		
PF00953	Glycosyl transferase family 4	pfam	family	IPR000715		
PF00955	HCO3- transporter family	pfam	family	IPR011531		
PF00956	Nucleosome assembly protein (NAP)	pfam	family	IPR002164		
PF00957	Synaptobrevin	pfam	family	IPR042855		
PF00958	GMP synthase C terminal domain	pfam	domain	IPR001674		
PF00962	Adenosine deaminase	pfam	domain	IPR001365		
PF00965	Tissue inhibitor of metalloproteinase	pfam	domain	IPR001820		
PF00969	Class II histocompatibility antigen, beta domain	pfam	domain	IPR000353		
PF00970	Oxidoreductase FAD-binding domain	pfam	domain	IPR008333		
PF00975	Thioesterase domain	pfam	domain	IPR001031		
PF00976	Corticotropin ACTH domain	pfam	family	IPR013531		
PF00984	UDP-glucose/GDP-mannose dehydrogenase family, central domain	pfam	domain	IPR014026		
PF00988	Carbamoyl-phosphate synthase small chain, CPSase domain	pfam	domain	IPR002474		
PF00989	PAS fold	pfam	domain	IPR013767		
PF00992	Troponin	pfam	family	IPR001978		
PF00993	Class II histocompatibility antigen, alpha domain	pfam	domain	IPR001003		
PF00994	Probable molybdopterin binding domain	pfam	domain	IPR001453		
PF00995	Sec1 family	pfam	family	IPR001619		
PF00996	GDP dissociation inhibitor	pfam	family	IPR018203		
PF00997	Kappa casein	pfam	family	IPR000117		
PF00999	Sodium/hydrogen exchanger family	pfam	family	IPR006153		
PF01000	RNA polymerase Rpb3/RpoA insert domain	pfam	domain	IPR011262		
PF01007	Inward rectifier potassium channel transmembrane domain	pfam	domain	IPR040445		
PF01008	Initiation factor 2 subunit family	pfam	family	IPR000649		
PF01011	PQQ enzyme repeat	pfam	repeat	IPR002372		
PF01012	Electron transfer flavoprotein domain	pfam	domain	IPR014730		
PF01015	Ribosomal S3Ae family	pfam	family	IPR001593		
PF01016	Ribosomal L27 protein	pfam	family	IPR001684		
PF01017	STAT protein, all-alpha domain	pfam	family	IPR013800		
PF01018	GTP1/OBG	pfam	domain	IPR006169		
PF01019	Gamma-glutamyltranspeptidase	pfam	domain			
PF01020	Ribosomal L40e family	pfam	family	IPR001975		
PF01023	S-100/ICaBP type calcium binding domain	pfam	domain	IPR013787		
PF01025	GrpE	pfam	family	IPR000740		
PF01026	TatD related DNase	pfam	domain	IPR001130		
PF01027	Inhibitor of apoptosis-promoting Bax1	pfam	family	IPR006214		
PF01028	Eukaryotic DNA topoisomerase I, catalytic core	pfam	domain	IPR013500		
PF01030	Receptor L domain	pfam	repeat	IPR000494		
PF01031	Dynamin central region	pfam	family	IPR000375		
PF01033	Somatomedin B domain	pfam	family	IPR001212		
PF01034	Syndecan domain	pfam	family	IPR027789		
PF01035	6-O-methylguanine DNA methyltransferase, DNA binding domain	pfam	domain	IPR014048		
PF01039	Carboxyl transferase domain	pfam	family	IPR034733		
PF01040	UbiA prenyltransferase family	pfam	family	IPR000537		
PF01042	Endoribonuclease L-PSP	pfam	domain	IPR006175		
PF01044	Vinculin family	pfam	family	IPR006077		
PF01048	Phosphorylase superfamily	pfam	domain	IPR000845		
PF01049	Cadherin cytoplasmic region	pfam	family	IPR000233		
PF01053	Cys/Met metabolism PLP-dependent enzyme	pfam	domain	IPR000277		
PF01055	"Glycosyl hydrolases family 31 "	pfam	family	IPR000322		
PF01056	Myc amino-terminal region	pfam	family	IPR012682		
PF01057	Parvovirus non-structural protein NS1	pfam	domain	IPR001257		
PF01058	NADH ubiquinone oxidoreductase, 20 Kd subunit	pfam	family	IPR006137		
PF01059	NADH-ubiquinone oxidoreductase chain 4, amino terminus	pfam	family	IPR000260		
PF01061	ABC-2 type transporter	pfam	family	IPR013525		
PF01062	Bestrophin, RFP-TM, chloride channel	pfam	family	IPR021134		
PF01063	Amino-transferase class IV	pfam	domain	IPR001544		
PF01064	Activin types I and II receptor domain	pfam	domain	IPR000472		
PF01066	CDP-alcohol phosphatidyltransferase	pfam	family	IPR000462		
PF01067	Calpain large subunit, domain III	pfam	domain	IPR022682		
PF01068	ATP dependent DNA ligase domain	pfam	domain	IPR012310		
PF01070	FMN-dependent dehydrogenase	pfam	domain	IPR000262		
PF01071	Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain	pfam	domain	IPR020561		
PF01073	3-beta hydroxysteroid dehydrogenase/isomerase family	pfam	family	IPR002225		
PF01074	Glycosyl hydrolases family 38 N-terminal domain	pfam	domain	IPR000602		
PF01078	Magnesium chelatase, subunit ChlI	pfam	domain	IPR000523		
PF01079	Hint module	pfam	family	IPR001767		
PF01080	Presenilin	pfam	family	IPR001108		
PF01082	Copper type II ascorbate-dependent monooxygenase, N-terminal domain	pfam	domain	IPR000323		
PF01084	Ribosomal protein S18	pfam	family	IPR001648		
PF01085	Hedgehog amino-terminal signalling domain	pfam	domain	IPR000320		
PF01086	Clathrin light chain	pfam	family	IPR000996		
PF01087	Galactose-1-phosphate uridyl transferase, N-terminal domain	pfam	domain	IPR005849		
PF01088	Ubiquitin carboxyl-terminal hydrolase, family 1	pfam	domain	IPR001578		
PF01090	Ribosomal protein S19e	pfam	family	IPR001266		
PF01091	PTN/MK heparin-binding protein family, C-terminal domain	pfam	domain	IPR020090		
PF01092	Ribosomal protein S6e	pfam	family	IPR001377		
